iter	Logloss	Precision
0	0.6929240169	0.5831600832
1	0.6927164528	0.5909926471
2	0.6924471965	0.5924528302
3	0.6922025654	0.6103012634
4	0.6919463506	0.6193737769
5	0.6916127263	0.6257197697
6	0.6913951513	0.6297747307
7	0.6911335684	0.6358267717
8	0.6908329662	0.6442687747
9	0.6906168598	0.6410767697
10	0.6903161193	0.6527068437
11	0.6901186246	0.6464143426
12	0.6899779289	0.6460176991
13	0.6896740608	0.6459566075
14	0.6894597531	0.6513486513
15	0.6892838693	0.6488933602
16	0.6890877846	0.6444223108
17	0.6888390517	0.6434262948
18	0.6886173042	0.636453202
19	0.6884377126	0.6383616384
20	0.688249236	0.6362735382
21	0.6880048177	0.6442211055
22	0.6877637058	0.6484295846
23	0.6875644404	0.6458123108
24	0.6873351627	0.6511156187
25	0.6871332192	0.6501014199
26	0.6869074996	0.6501014199
27	0.6866524805	0.6498993964
28	0.686373587	0.6494427558
29	0.6861132302	0.6484848485
30	0.6859128326	0.6505050505
31	0.6857238659	0.6501014199
32	0.6854739368	0.6475327291
33	0.6851559195	0.6465863454
34	0.6849138876	0.648241206
35	0.6847670375	0.6492462312
36	0.6845303656	0.6511627907
37	0.6842992055	0.6535750252
38	0.6840689305	0.654233871
39	0.6838135967	0.6533066132
40	0.683527753	0.6579476861
41	0.683325977	0.6572864322
42	0.6831055301	0.6549295775
43	0.682911075	0.6565656566
44	0.6825439221	0.6589537223
45	0.6822910681	0.6606060606
46	0.6819875027	0.6609657948
47	0.6817905235	0.6613226453
48	0.6815419342	0.6653266332
49	0.6813698877	0.6619859579
50	0.6811853814	0.6646464646
51	0.6809477437	0.6639593909
52	0.6806824777	0.6639839034
53	0.6804505276	0.6653346653
54	0.6803027151	0.6646586345
55	0.6800291631	0.6643286573
56	0.6798028074	0.6653306613
57	0.6796408529	0.662
58	0.6794189838	0.6626746507
59	0.679155689	0.6663316583
60	0.6789953784	0.6663326653
61	0.6788232063	0.6643356643
62	0.6786230343	0.668004012
63	0.6783963232	0.6666666667
64	0.6781827066	0.665997994
65	0.6779439764	0.6670040486
66	0.677699632	0.6686930091
67	0.6774693592	0.6686868687
68	0.6772632171	0.6690211907
69	0.6770523948	0.6703741153
70	0.6768922216	0.6713995943
71	0.6767209601	0.6690211907
72	0.676459961	0.6693794507
73	0.6762710682	0.6697061803
74	0.6759408452	0.6731358529
