iter	Passed	Remaining
0	6	3056
1	11	2756
2	15	2634
3	20	2586
4	25	2522
5	30	2515
6	35	2519
7	39	2451
8	44	2439
9	49	2402
10	53	2357
11	57	2318
12	61	2285
13	65	2259
14	69	2231
15	72	2207
16	76	2186
17	81	2173
18	85	2156
19	89	2140
20	93	2125
21	97	2113
22	101	2099
23	105	2089
24	109	2077
25	113	2069
26	117	2059
27	121	2048
28	125	2040
29	129	2031
30	133	2022
31	137	2012
32	141	2004
33	145	1997
34	149	1988
35	153	1981
36	157	1973
37	161	1968
38	165	1961
39	170	1955
40	173	1947
41	177	1940
42	182	1938
43	186	1931
44	190	1924
45	194	1918
46	198	1914
47	202	1908
48	206	1901
49	210	1895
50	214	1890
51	218	1884
52	222	1878
53	226	1872
54	230	1866
55	234	1861
56	238	1856
57	242	1850
58	246	1844
59	250	1839
60	254	1834
61	258	1828
62	262	1823
63	266	1817
64	270	1812
65	274	1807
66	278	1801
67	282	1796
68	286	1791
69	290	1786
70	294	1781
71	298	1777
72	303	1772
73	307	1767
74	311	1762
75	315	1758
76	319	1754
77	323	1748
78	327	1743
79	331	1738
80	335	1734
81	339	1729
82	343	1724
83	347	1719
84	351	1715
85	355	1711
86	359	1706
87	363	1701
88	367	1697
89	371	1692
90	375	1688
91	379	1683
92	383	1678
93	387	1674
94	391	1669
95	395	1665
96	399	1660
97	403	1656
98	407	1651
99	411	1646
100	415	1642
101	419	1637
102	423	1633
103	428	1630
104	432	1627
105	436	1624
106	441	1620
107	445	1617
108	453	1626
109	459	1629
110	464	1626
111	468	1623
112	472	1619
113	477	1616
114	483	1618
115	487	1613
116	493	1615
117	499	1616
118	504	1615
119	510	1615
120	518	1623
121	523	1621
122	529	1622
123	537	1629
124	543	1631
125	548	1628
126	552	1623
127	557	1619
128	563	1620
129	570	1623
130	576	1623
131	582	1623
132	589	1626
133	595	1625
134	600	1623
135	605	1620
136	609	1614
137	613	1610
138	618	1605
139	622	1600
140	626	1595
141	630	1590
142	634	1585
143	638	1579
144	643	1574
145	647	1569
146	652	1566
147	656	1561
148	660	1556
149	664	1550
150	668	1545
151	672	1540
152	677	1536
153	681	1531
154	685	1526
155	689	1520
156	693	1515
157	697	1510
158	701	1505
159	705	1500
160	711	1497
161	715	1492
162	719	1487
163	724	1483
164	728	1478
165	732	1473
166	736	1468
167	740	1463
168	745	1459
169	749	1454
170	754	1450
171	758	1446
172	762	1441
173	766	1436
174	770	1431
175	774	1426
176	778	1421
177	782	1416
178	786	1411
179	790	1406
180	794	1401
181	799	1396
182	803	1391
183	807	1386
184	811	1381
185	815	1376
186	819	1370
187	823	1366
188	827	1361
189	831	1355
190	835	1351
191	839	1346
192	844	1342
193	848	1337
194	852	1332
195	856	1327
196	860	1322
197	864	1317
198	868	1312
199	872	1308
200	876	1303
201	880	1298
202	884	1294
203	888	1289
204	892	1284
205	896	1279
206	900	1274
207	904	1270
208	908	1265
209	912	1260
210	916	1255
211	920	1250
212	924	1246
213	929	1241
214	941	1248
215	1058	1391
216	1063	1387
217	1068	1382
218	1077	1382
219	1085	1381
220	1092	1378
221	1099	1376
222	1105	1372
223	1113	1372
224	1119	1368
225	1125	1364
226	1132	1361
227	1136	1356
228	1141	1351
229	1147	1347
230	1154	1344
231	1161	1341
232	1168	1338
233	1173	1334
234	1179	1330
235	1184	1324
236	1188	1318
237	1192	1313
238	1197	1308
239	1203	1303
240	1208	1298
241	1215	1296
242	1221	1292
243	1226	1287
244	1232	1282
245	1239	1279
246	1243	1274
247	1248	1268
248	1252	1262
249	1257	1257
250	1261	1251
251	1265	1245
252	1270	1240
253	1274	1234
254	1279	1229
255	1285	1224
256	1290	1219
257	1294	1213
258	1298	1208
259	1304	1204
260	1309	1198
261	1313	1192
262	1317	1187
263	1322	1181
264	1326	1176
265	1331	1171
266	1335	1165
267	1341	1160
268	1345	1155
269	1349	1149
270	1355	1145
271	1362	1141
272	1370	1139
273	1375	1134
274	1381	1130
275	1389	1127
276	1394	1122
277	1398	1116
278	1403	1111
279	1408	1106
280	1412	1101
281	1418	1096
282	1422	1090
283	1426	1085
284	1432	1080
285	1437	1075
286	1441	1069
287	1445	1063
288	1450	1058
289	1457	1055
290	1465	1052
291	1473	1049
292	1479	1045
293	1484	1040
294	1491	1036
295	1495	1030
296	1500	1025
297	1508	1022
298	1517	1019
299	1524	1016
300	1529	1010
301	1533	1005
302	1538	1000
303	1542	994
304	1547	989
305	1552	984
306	1556	978
307	1561	973
308	1566	968
309	1570	962
310	1575	957
311	1581	952
312	1588	949
313	1594	944
314	1602	941
315	1609	936
316	1615	932
317	1622	928
318	1628	923
319	1635	919
320	1640	914
321	1644	908
322	1649	904
323	1656	899
324	1661	894
325	1666	889
326	1670	883
327	1677	879
328	1683	875
329	1689	870
330	1693	864
331	1697	859
332	1701	853
333	1706	847
334	1710	842
335	1714	836
336	1718	831
337	1724	826
338	1730	821
339	1735	816
340	1739	810
341	1743	805
342	1748	800
343	1752	794
344	1756	789
345	1760	783
346	1765	778
347	1770	773
348	1774	767
349	1778	762
350	1783	757
351	1790	752
352	1797	748
353	1804	744
354	1808	738
355	1812	733
356	1817	727
357	1821	722
358	1825	716
359	1829	711
360	1833	706
361	1837	700
362	1841	695
363	1845	689
364	1849	684
365	1853	678
366	1857	673
367	1862	667
368	1866	662
369	1870	657
370	1874	651
371	1878	646
372	1883	641
373	1889	636
374	1895	631
375	1901	627
376	1906	622
377	1913	617
378	1919	612
379	1925	607
380	1931	603
381	1939	599
382	1945	594
383	1951	589
384	1958	584
385	1964	580
386	1971	575
387	1977	570
388	1983	565
389	1989	561
390	1996	556
391	2003	551
392	2009	547
393	2016	542
394	2025	538
395	2033	534
396	2041	529
397	2134	546
398	2200	556
399	2205	551
400	2210	545
401	2214	539
402	2220	534
403	2227	529
404	2233	524
405	2239	518
406	2247	513
407	2254	508
408	2259	502
409	2266	497
410	2272	492
411	2278	486
412	2284	481
413	2288	475
414	2292	469
415	2297	463
416	2302	458
417	2306	452
418	2310	446
419	2317	441
420	2324	436
421	2330	430
422	2335	425
423	2339	419
424	2348	414
425	2353	408
426	2358	403
427	2362	397
428	2370	392
429	2375	386
430	2381	381
431	2385	375
432	2389	369
433	2395	364
434	2399	358
435	2403	352
436	2408	347
437	2413	341
438	2417	335
439	2422	330
440	2428	324
441	2433	319
442	2438	313
443	2444	308
444	2450	302
445	2457	297
446	2462	291
447	2469	286
448	2474	281
449	2481	275
450	2487	270
451	2493	264
452	2499	259
453	2505	253
454	2512	248
455	2517	242
456	2525	237
457	2531	232
458	2537	226
459	2546	221
460	2552	215
461	2559	210
462	2566	205
463	2572	199
464	2579	194
465	2585	188
466	2591	183
467	2598	177
468	2605	172
469	2611	166
470	2618	161
471	2625	155
472	2629	150
473	2633	144
474	2641	139
475	2649	133
476	2653	127
477	2661	122
478	2665	116
479	2670	111
480	2674	105
481	2681	100
482	2688	94
483	2695	89
484	2703	83
485	2718	78
486	2736	73
487	2746	67
488	2751	61
489	2759	56
490	2765	50
491	2775	45
492	2784	39
493	2792	33
494	2797	28
495	2803	22
496	2813	16
497	2819	11
498	2825	5
499	2832	0
