iter	Logloss
0	0.6931193425
1	0.6931095417
2	0.6931006798
3	0.6930955153
4	0.6930615939
5	0.6930507366
6	0.6930323087
7	0.693007836
8	0.6929833045
9	0.6929766728
10	0.692970628
11	0.6929675176
12	0.6929581275
13	0.6929498526
14	0.6929432796
15	0.6929342417
16	0.6929080083
17	0.6928875263
18	0.6928646381
19	0.6928254348
20	0.692804542
21	0.6927831796
22	0.6927754329
23	0.6927480844
24	0.6927228487
25	0.6926997258
26	0.6926682692
27	0.6926640437
28	0.6926588792
29	0.6926438552
30	0.6926238427
31	0.6926013653
32	0.6925681481
33	0.6925607535
34	0.6925436167
35	0.6925129817
36	0.692499953
37	0.692475539
38	0.692472722
39	0.6924532377
40	0.692423483
41	0.6924127432
42	0.6923958998
43	0.6923755352
44	0.6923578116
45	0.6923352755
46	0.6923186082
47	0.6923081618
48	0.6922851562
49	0.6922622094
50	0.6922272315
51	0.6922186045
52	0.6922159048
53	0.6921942491
54	0.6921815725
55	0.6921645531
56	0.6921319815
57	0.6921069805
58	0.6920797495
59	0.6920461215
60	0.692033621
61	0.6920109089
62	0.691995474
63	0.6919923049
64	0.691971236
65	0.6919523973
66	0.6919440049
67	0.6919304481
68	0.6919181824
69	0.6919129005
70	0.6919028649
71	0.6918890146
72	0.6918665959
73	0.6918576167
74	0.6918307965
75	0.6918113708
76	0.6917974619
77	0.6917800316
78	0.6917752193
79	0.6917618385
80	0.691739009
81	0.6917351356
82	0.6917066721
83	0.6916773869
84	0.691665532
85	0.6916375967
86	0.6916239812
87	0.6916172908
88	0.6916087224
89	0.6916047903
90	0.691592642
91	0.6915807871
92	0.691579672
93	0.6915580163
94	0.6915434617
95	0.6915220994
96	0.6915122399
97	0.6914993286
98	0.6914742103
99	0.6914638226
100	0.6914435753
101	0.6914304293
102	0.6914125883
103	0.6914023766
104	0.6913906391
105	0.6913850638
106	0.6913708613
107	0.6913573045
108	0.6913426326
109	0.6913327731
110	0.6913145799
111	0.6912984408
112	0.6912848253
113	0.6912749657
114	0.6912550706
115	0.6912337083
116	0.6912072402
117	0.6911949745
118	0.6911873451
119	0.6911673326
120	0.691147144
121	0.6911305354
122	0.6911253122
123	0.6911227886
124	0.6911164504
125	0.6910959684
126	0.6910729041
127	0.6910476685
128	0.6910298274
129	0.6910069392
130	0.6909941453
131	0.6909817035
132	0.6909679119
133	0.690949308
134	0.6909246591
135	0.6909069942
136	0.6908905616
137	0.6908799392
138	0.6908651499
139	0.690855173
140	0.6908415574
141	0.6908266508
142	0.6907990089
143	0.6907815787
144	0.6907724234
145	0.6907698411
146	0.6907518827
147	0.6907411429
148	0.6907303443
149	0.6907162593
150	0.6907018808
151	0.6906784058
152	0.6906575716
153	0.6906397893
154	0.6906318078
155	0.6906095651
156	0.6905931913
157	0.690572768
158	0.6905709487
