iter	Passed	Remaining
0	18	36212
1	19	19523
2	20	13938
3	22	11178
4	23	9507
5	25	8358
6	26	7538
7	28	6983
8	29	6524
9	30	6138
10	32	5834
11	33	5563
12	34	5335
13	36	5136
14	37	4971
15	39	4860
16	40	4744
17	42	4626
18	43	4520
19	44	4433
20	46	4347
21	47	4273
22	48	4207
23	50	4140
24	52	4137
25	53	4093
26	55	4045
27	56	3991
28	58	3942
29	59	3899
30	60	3868
31	62	3835
32	63	3798
33	65	3769
34	66	3728
35	67	3689
36	68	3653
37	70	3618
38	71	3583
39	72	3551
40	73	3524
41	75	3499
42	76	3469
43	77	3443
44	78	3417
45	79	3392
46	81	3370
47	82	3347
48	83	3325
49	84	3304
50	85	3284
51	87	3275
52	88	3259
53	89	3242
54	91	3224
55	92	3208
56	93	3191
57	94	3176
58	96	3160
59	97	3146
60	98	3133
61	99	3123
62	101	3109
63	102	3096
64	103	3092
65	105	3081
66	106	3069
67	107	3056
68	108	3046
69	110	3035
70	111	3030
71	112	3020
72	114	3009
73	115	3003
74	116	2993
75	117	2985
76	119	2977
77	120	2967
78	121	2958
79	122	2949
80	124	2940
81	125	2931
82	126	2923
83	127	2914
84	129	2906
85	130	2899
86	131	2891
87	132	2886
88	134	2882
89	135	2883
90	137	2880
91	138	2875
92	139	2870
93	141	2868
94	142	2861
95	143	2854
96	145	2846
97	146	2841
98	147	2835
99	148	2828
100	150	2821
101	151	2815
102	152	2809
103	153	2802
104	154	2796
105	156	2790
106	157	2783
107	158	2778
108	159	2772
109	161	2772
110	162	2768
111	164	2768
112	165	2764
113	166	2761
114	168	2759
115	169	2758
116	171	2754
117	172	2751
118	173	2747
119	175	2745
120	176	2743
121	178	2740
122	179	2736
123	180	2731
124	181	2728
125	183	2724
126	184	2722
127	185	2717
128	187	2715
129	188	2714
130	190	2712
131	191	2708
132	192	2705
133	193	2701
134	195	2696
135	196	2693
136	197	2689
137	198	2684
138	200	2680
139	201	2675
140	202	2671
141	203	2667
142	205	2666
143	206	2661
144	207	2656
145	208	2652
146	210	2651
147	211	2647
148	212	2643
149	214	2639
150	215	2635
151	216	2634
152	217	2630
153	219	2627
154	220	2623
155	221	2619
156	223	2618
157	224	2615
158	225	2611
159	226	2607
160	227	2604
161	229	2600
162	230	2596
163	231	2593
164	232	2589
165	234	2586
166	235	2582
167	236	2579
168	237	2576
169	239	2573
170	240	2570
171	241	2566
172	242	2563
173	244	2560
174	245	2557
175	246	2554
176	247	2551
177	248	2548
178	250	2544
179	251	2541
180	252	2538
181	253	2534
182	254	2531
183	256	2528
184	257	2525
185	258	2521
186	259	2518
187	261	2516
188	262	2513
189	263	2510
190	264	2507
191	265	2504
192	267	2501
193	268	2498
194	269	2495
195	270	2492
196	272	2490
197	273	2487
198	274	2484
199	275	2481
200	276	2478
201	278	2475
202	279	2472
203	280	2469
204	281	2467
205	282	2464
206	284	2461
207	285	2460
208	286	2457
209	288	2455
210	289	2452
211	290	2450
212	291	2447
213	292	2445
214	294	2442
215	295	2440
216	296	2438
217	298	2436
218	299	2433
219	300	2431
220	301	2428
221	302	2425
222	304	2423
223	305	2421
224	306	2419
225	307	2416
226	309	2414
227	310	2411
228	311	2409
229	312	2406
230	313	2404
231	315	2401
232	316	2400
233	317	2398
234	319	2395
235	320	2393
236	321	2391
237	322	2388
238	323	2386
239	325	2383
240	326	2383
241	327	2381
242	328	2378
243	330	2376
244	331	2374
245	333	2374
246	334	2372
247	335	2369
248	336	2367
249	337	2365
250	339	2363
251	340	2361
252	341	2358
253	342	2356
254	343	2354
255	345	2351
256	346	2349
257	347	2347
258	348	2345
259	350	2343
260	351	2341
261	352	2340
