iter	Precision	Logloss
0	0.5797413793	0.6931156014
1	0.5967741935	0.6930532909
2	0.6013400335	0.6930117033
3	0.6065989848	0.692979654
4	0.6112956811	0.6929437622
5	0.604322527	0.6929122354
6	0.6046511628	0.6928808506
7	0.612635079	0.6928391026
8	0.6128226478	0.6928010989
9	0.6201680672	0.6927645486
10	0.6189279732	0.6927329349
11	0.6200169635	0.6926977284
12	0.6227848101	0.6926687518
13	0.6213511259	0.6926299385
14	0.6173767753	0.6925874134
15	0.6193656093	0.692547868
16	0.6222596965	0.69251132
17	0.6242578456	0.6924677642
18	0.6272189349	0.6924339975
19	0.6246851385	0.6924027328
20	0.6323283082	0.6923574687
21	0.6334728033	0.6923128004
22	0.6301600674	0.6922771934
23	0.6339590444	0.6922491738
24	0.6327054795	0.6921987952
25	0.6351118761	0.6921658989
26	0.635193133	0.6921267897
27	0.6322907861	0.6920953925
28	0.6326874473	0.6920521073
29	0.6317114094	0.6920129062
30	0.6306913997	0.6919739332
31	0.6323283082	0.6919324063
32	0.6365173288	0.6918933488
33	0.633361558	0.6918547355
34	0.637755102	0.6918054251
35	0.6368243243	0.6917628161
36	0.6396242528	0.6917078863
37	0.6421232877	0.6916611748
38	0.6424294269	0.6916383912
39	0.6379897785	0.691598043
40	0.6372212693	0.6915657115
41	0.6370623399	0.6915157577
42	0.6399655469	0.6914671552
43	0.6387702818	0.6914227103
44	0.6397248495	0.6913950385
45	0.6376936317	0.6913591792
46	0.6405846948	0.6913184348
47	0.6385542169	0.6912931561
48	0.6395547945	0.6912563609
49	0.6401709402	0.6912259636
50	0.6398631309	0.6911896669
51	0.6369047619	0.6911451783
52	0.6383701188	0.6911099054
53	0.6397621071	0.6910674199
54	0.6392887384	0.6910316364
55	0.6423728814	0.690993553
56	0.6406117247	0.6909418622
57	0.642614601	0.690903207
58	0.6443691787	0.6908727511
59	0.6389830508	0.6908421052
60	0.639898563	0.6908057189
61	0.6391925988	0.6907646316
62	0.6372053872	0.6907281263
63	0.6388185654	0.6906952208
64	0.6382799325	0.6906682661
65	0.6384228188	0.6906337395
66	0.6363636364	0.690593539
67	0.6391925988	0.6905470783
68	0.6410041841	0.6905110486
69	0.6407035176	0.690477827
70	0.6408746846	0.6904494107
71	0.6427969671	0.6904144302
72	0.6422558923	0.6903748385
73	0.6427969671	0.6903338087
74	0.6427364865	0.6902998581
75	0.6385135135	0.690257138
76	0.6365935919	0.6902171606
77	0.6376689189	0.6901792501
78	0.6376689189	0.6901445154
79	0.6377422072	0.6901016786
80	0.6381355932	0.6900659125
81	0.6365935919	0.6900354595
82	0.6382079459	0.6900054952
83	0.6360572873	0.689971099
84	0.638047138	0.6899346719
85	0.6370494552	0.6899051851
86	0.635451505	0.689873249
87	0.635529608	0.6898422119
88	0.6374269006	0.6898022911
89	0.6368948247	0.6897683657
90	0.6393305439	0.6897314975
91	0.635451505	0.6896856994
92	0.6372053872	0.6896505561
93	0.638047138	0.689619204
94	0.6374367622	0.6895851197
95	0.6365935919	0.6895467737
96	0.6363636364	0.6895157962
97	0.6363636364	0.6894800743
98	0.6357504216	0.6894335152
99	0.6358284272	0.6893927788
100	0.6313131313	0.6893597129
101	0.6317114094	0.6893142434
102	0.6328583403	0.6892768867
103	0.6321070234	0.6892308951
104	0.6337792642	0.6891971453
105	0.6328583403	0.6891523482
106	0.6339210747	0.6891098816
107	0.6352148273	0.6890765341
108	0.6329113924	0.6890474916
109	0.6334459459	0.6890170504
110	0.6344359627	0.6889626653
111	0.6347457627	0.6889354562
112	0.6339814032	0.6888979091
113	0.6345991561	0.6888681045
114	0.6319327731	0.6888490167
115	0.6295054484	0.6888080422
116	0.6302521008	0.6887571945
117	0.6313131313	0.688722412
118	0.63153457	0.6886892368
119	0.629535865	0.6886522121
120	0.6304713805	0.6886241816
121	0.6340640809	0.6885730168
122	0.6326874473	0.6885412348
123	0.6324642557	0.6885055806
124	0.6313131313	0.6884619218
125	0.631092437	0.6884260018
126	0.6323777403	0.6883999618
127	0.6326013514	0.6883542762
128	0.6316232128	0.6883282861
129	0.6322907861	0.6882892027
130	0.6312236287	0.6882572769
131	0.6309121622	0.6882295237
132	0.6314454776	0.6881801455
133	0.6336717428	0.6881400218
134	0.6324278438	0.6881004215
135	0.6336717428	0.688058371
136	0.6322907861	0.6880209502
137	0.6331360947	0.688000098
138	0.6316680779	0.6879778635
139	0.6300675676	0.6879475722
140	0.6302876481	0.6879114232
141	0.6324278438	0.6878673298
142	0.6324278438	0.6878337554
143	0.6306001691	0.6877986255
144	0.6319796954	0.6877572112
145	0.6311336717	0.6877178797
146	0.632514818	0.6876705548
147	0.6306001691	0.6876364029
148	0.6314454776	0.6876080131
149	0.63153457	0.6875745336
150	0.6310025274	0.6875382639
151	0.6303797468	0.687491171
152	0.6310025274	0.687451105
153	0.6310025274	0.687407833
154	0.6293176074	0.6873808423
155	0.6296296296	0.6873372452
156	0.6312236287	0.6872907593
157	0.6306913997	0.6872595783
158	0.6310025274	0.6872255453
159	0.6326874473	0.6871981148
160	0.6340640809	0.6871601715
161	0.63153457	0.6871223684
162	0.6304713805	0.6870995751
163	0.6319327731	0.6870452519
164	0.631092437	0.6870134383
165	0.631402183	0.6869821549
166	0.6317114094	0.6869444838
167	0.6322418136	0.6869065245
168	0.6308724832	0.6868638271
169	0.6317114094	0.6868223023
170	0.631092437	0.6867930605
171	0.6320201174	0.6867590978
172	0.6323283082	0.6867119746
173	0.6328583403	0.6866703281
174	0.6333892617	0.6866399522
175	0.6330814442	0.6866110131
176	0.6340033501	0.6865774971
177	0.6350671141	0.6865384366
178	0.6378151261	0.6864983773
179	0.6367449664	0.6864762787
180	0.6346801347	0.6864350199
181	0.6343723673	0.6863881526
182	0.6349072513	0.6863629286
183	0.6348267117	0.6863216122
184	0.6351351351	0.686272985
185	0.6351351351	0.6862389783
186	0.6349873844	0.6862158556
187	0.6333892617	0.6861824583
188	0.6349873844	0.6861474014
189	0.6333892617	0.6861038595
190	0.6363636364	0.6860665011
191	0.6352941176	0.686025816
192	0.6333892617	0.6859968742
193	0.6335299073	0.6859736991
194	0.6349873844	0.6859340165
195	0.6364399664	0.6858969318
196	0.6364399664	0.685863346
197	0.6383515559	0.685818136
198	0.6385846672	0.6857838761
199	0.6383515559	0.6857529835
200	0.6397984887	0.6857086661
201	0.6394957983	0.6856809829
202	0.6391925988	0.6856561559
203	0.6395641241	0.685628146
204	0.6378876781	0.685583336
205	0.639261745	0.6855451977
206	0.6403361345	0.6855274259
207	0.6369747899	0.6854967424
208	0.6376569038	0.6854560061
209	0.6381909548	0.6854209343
210	0.6375838926	0.6853924772
211	0.6357560568	0.6853462121
212	0.635451505	0.6853178696
213	0.6371976647	0.685278474
214	0.6382623225	0.6852413231
215	0.6368948247	0.6852008683
216	0.6379598662	0.6851662373
217	0.6374269006	0.6851368959
218	0.6383333333	0.6850950297
219	0.6374269006	0.6850539892
220	0.6368948247	0.6850130845
221	0.6371976647	0.6849680521
222	0.6381909548	0.6849328507
223	0.6371237458	0.6849131505
224	0.6371237458	0.6848746381
225	0.6368200837	0.6848501866
226	0.6362112322	0.6848081399
227	0.6362876254	0.6847727304
228	0.6373534338	0.6847242872
229	0.6357560568	0.6846885507
230	0.6373534338	0.6846603051
231	0.6387959866	0.6846230778
232	0.6393305439	0.6845985475
233	0.640167364	0.6845622197
234	0.6397984887	0.6845165205
235	0.6384228188	0.6844855678
236	0.6368200837	0.6844547726
237	0.6379598662	0.6844236776
238	0.6384937238	0.684395995
239	0.6387959866	0.6843630668
240	0.6399331662	0.6843260258
241	0.6404682274	0.6842925718
242	0.6390977444	0.6842596167
243	0.640167364	0.6842219342
244	0.6407035176	0.6841808662
245	0.64124057	0.6841460965
246	0.640167364	0.6841138434
247	0.6415410385	0.6840839707
248	0.6409395973	0.6840566039
249	0.6410041841	0.6840277613
250	0.6414777498	0.6840014483
251	0.6398659966	0.6839716979
252	0.6411764706	0.6839279142
253	0.6414141414	0.6838942791
