iter	Passed	Remaining
0	10	21652
1	16	16167
2	21	14461
3	27	13670
4	31	12757
5	36	12132
6	41	11735
7	45	11383
8	50	11130
9	55	10968
10	59	10784
11	64	10617
12	68	10509
13	73	10377
14	77	10265
15	82	10173
16	86	10107
17	91	10038
18	95	9976
19	100	9918
20	104	9856
21	109	9818
22	113	9769
23	118	9727
24	122	9688
25	126	9639
26	131	9602
27	135	9565
28	140	9530
29	144	9506
30	149	9484
31	153	9460
32	158	9436
33	162	9410
34	167	9383
35	171	9362
36	176	9347
37	180	9337
38	185	9312
39	189	9294
40	194	9274
41	198	9258
42	203	9248
43	208	9273
44	214	9299
45	219	9314
46	224	9330
47	229	9351
48	235	9361
49	240	9389
50	245	9400
51	250	9383
52	254	9365
53	259	9360
54	264	9346
55	268	9331
56	273	9318
57	277	9300
58	282	9300
59	287	9299
60	292	9290
61	296	9276
62	301	9263
63	306	9260
64	310	9244
65	315	9232
66	319	9219
67	324	9216
68	328	9203
69	333	9193
70	337	9181
71	342	9168
72	346	9154
73	351	9141
74	355	9131
75	360	9120
76	365	9116
77	369	9108
78	374	9095
79	378	9084
80	382	9071
81	387	9062
82	391	9048
83	396	9038
84	400	9026
85	404	9013
86	409	9011
87	414	9001
88	418	8994
89	423	8985
90	427	8976
91	432	8963
92	436	8953
93	441	8942
94	445	8930
95	450	8925
96	454	8917
97	459	8909
98	463	8899
99	468	8893
100	472	8882
101	476	8875
102	481	8868
103	485	8859
104	490	8852
105	494	8843
106	499	8837
107	503	8828
108	508	8820
109	513	8816
110	517	8808
111	522	8800
112	526	8794
113	531	8785
114	535	8775
115	539	8767
116	544	8763
117	549	8756
118	553	8747
119	557	8740
120	562	8732
121	566	8724
122	571	8715
123	575	8710
124	580	8701
125	584	8695
126	589	8687
127	593	8679
128	597	8671
129	602	8665
130	606	8659
131	611	8651
132	615	8644
133	620	8637
134	624	8630
135	629	8622
136	633	8616
137	638	8611
138	642	8603
139	647	8596
140	651	8589
141	656	8584
142	660	8581
143	666	8585
144	671	8589
145	676	8591
146	681	8592
147	686	8594
148	692	8597
