iter	Precision	Logloss
0	0.5527123849	0.6931201064
1	0.5467372134	0.6931108269
2	0.5354632588	0.693100862
3	0.5398351648	0.6930962724
4	0.5408450704	0.6930606728
5	0.5452570601	0.6930501292
6	0.5459297984	0.6930338436
7	0.5457902511	0.6930082846
8	0.5448916409	0.6929845067
9	0.550340651	0.6929774413
10	0.5470022206	0.6929714064
11	0.5452538631	0.6929684552
12	0.5479151426	0.6929586429
13	0.5490483163	0.6929504148
14	0.5459221161	0.6929438487
15	0.5478451424	0.6929348431
16	0.5456570156	0.6929086878
17	0.546735905	0.6928880464
18	0.5471417966	0.6928654118
19	0.5486590038	0.6928262371
20	0.5509893455	0.6928051631
21	0.5515933232	0.6927841033
22	0.5495086924	0.6927762868
23	0.5493496557	0.69274852
24	0.5491990847	0.6927236555
25	0.5522727273	0.6927001791
26	0.5533384497	0.6926688554
27	0.5523520486	0.6926648912
28	0.5508666164	0.6926595926
29	0.5505200594	0.6926444829
30	0.5475113122	0.6926244506
31	0.5494672755	0.6926020308
32	0.5477802859	0.6925690263
33	0.5490936556	0.6925615895
34	0.5486792453	0.6925442871
35	0.5506376594	0.6925135551
36	0.5508221226	0.6925007226
37	0.5514874142	0.6924763987
38	0.5513307985	0.692473316
39	0.5521472393	0.692453732
40	0.5531419705	0.6924242681
41	0.5514307811	0.692413453
42	0.5501945525	0.6923966997
43	0.5467904099	0.6923764599
44	0.5448868072	0.6923587496
45	0.5484120837	0.692335871
46	0.547008547	0.6923192571
47	0.5458074534	0.6923091431
48	0.5465299685	0.6922859298
49	0.55145326	0.6922631834
50	0.549251379	0.6922283507
51	0.548513302	0.6922192453
52	0.5497259201	0.6922170559
53	0.5473933649	0.6921953536
54	0.5482352941	0.6921825049
55	0.5494933749	0.6921653053
56	0.5512118843	0.6921328337
57	0.5510835913	0.6921082401
58	0.5517509728	0.6920805904
59	0.5520751762	0.6920472239
60	0.5513219285	0.6920348538
61	0.5510835913	0.692011986
62	0.5525502318	0.6919964979
63	0.5535851966	0.6919932861
64	0.5554699538	0.6919724632
65	0.5534204458	0.691953575
66	0.5528330781	0.6919453577
67	0.5529141104	0.691931501
68	0.5527522936	0.6919193962
69	0.5519877676	0.6919140914
70	0.5519877676	0.6919038729
71	0.5531752104	0.691890363
72	0.5544554455	0.6918678271
73	0.5532724505	0.6918588492
74	0.5493920973	0.6918322018
75	0.5519877676	0.6918127606
76	0.5540334855	0.691798952
77	0.551566081	0.6917814386
78	0.5522501907	0.6917767384
79	0.5522501907	0.6917633665
80	0.5537757437	0.6917404813
81	0.5541158537	0.6917366737
82	0.5531914894	0.6917083397
83	0.5534351145	0.6916791388
84	0.5545385202	0.6916670588
85	0.5519877676	0.6916394076
86	0.5540334855	0.6916258563
87	0.5537065053	0.6916188924
88	0.5527714503	0.6916100168
89	0.5521148036	0.6916064503
90	0.5533686601	0.6915942242
91	0.5524316109	0.6915825077
92	0.5531107739	0.6915815268
93	0.5518292683	0.691559989
94	0.5532724505	0.6915453178
95	0.5519083969	0.6915238791
96	0.5501915709	0.6915141633
97	0.5512232416	0.6915011913
98	0.5516449885	0.6914761806
99	0.5531914894	0.6914660975
100	0.5549618321	0.6914456982
101	0.5532879819	0.6914325477
102	0.5543726236	0.6914148052
103	0.5525114155	0.6914042792
104	0.5527714503	0.69139275
105	0.5523520486	0.6913870512
106	0.5536121673	0.6913732329
107	0.5530129672	0.691359424
108	0.5525114155	0.6913449831
109	0.5521706017	0.6913349811
110	0.5529322163	0.6913166833
111	0.5551330798	0.6913007967
112	0.5551330798	0.6912872997
113	0.5545385202	0.6912772157
114	0.5558935361	0.6912576611
115	0.5548780488	0.691236106
116	0.5551301685	0.6912096095
117	0.5555555556	0.6911976538
118	0.5553012967	0.6911898939
119	0.5552147239	0.691170036
120	0.5539403213	0.6911494215
121	0.5550458716	0.6911331392
122	0.5544554455	0.6911277607
123	0.5544554455	0.691125341
124	0.5554711246	0.6911192062
125	0.5536938309	0.6910986016
126	0.5553012967	0.6910755578
127	0.5560640732	0.6910505372
128	0.5561497326	0.691032686
129	0.5568268497	0.6910098505
130	0.556402439	0.690997188
131	0.5558103976	0.6909846165
132	0.5556402439	0.6909707581
133	0.5564885496	0.6909525532
134	0.5569136746	0.6909276946
135	0.5562356542	0.6909102281
136	0.5551301685	0.690893743
137	0.5554705432	0.6908830718
138	0.5550458716	0.6908683866
139	0.5561497326	0.6908587575
140	0.5549618321	0.6908448594
141	0.5561497326	0.6908299214
142	0.5561497326	0.6908026482
143	0.5553857907	0.6907852999
144	0.5541984733	0.6907758862
145	0.5552170602	0.6907732383
146	0.5549618321	0.6907554479
147	0.5552170602	0.6907447758
148	0.5543726236	0.6907339556
149	0.5542900532	0.690719844
150	0.5543726236	0.6907055251
151	0.5560640732	0.6906821633
152	0.5570007651	0.6906616228
153	0.5571757483	0.6906435596
154	0.5567484663	0.6906354681
155	0.5558103976	0.6906136682
156	0.5562356542	0.6905972629
157	0.5572636434	0.6905768872
158	0.5571757483	0.6905751523
159	0.5560675883	0.6905612362
160	0.5556408289	0.6905546745
161	0.554789272	0.6905470689
162	0.5563218391	0.6905322478
163	0.5556408289	0.6905217284
164	0.5548733691	0.6905015037
165	0.5542725173	0.6904827401
166	0.5540123457	0.6904577362
167	0.5527328714	0.6904507623
168	0.5546153846	0.6904358286
169	0.5538461538	0.6904207353
170	0.5523882897	0.6903968393
171	0.5528957529	0.69037222
172	0.5560711524	0.6903558643
173	0.5549535604	0.690327029
174	0.556158017	0.6903209189
175	0.5545243619	0.6903048048
176	0.5588235294	0.6902847755
177	0.556501548	0.6902731441
178	0.5564142195	0.6902706092
179	0.556501548	0.6902560792
180	0.5555555556	0.6902419496
181	0.5547839506	0.6902369787
182	0.5554699538	0.6902366425
183	0.5552123552	0.6902229659
184	0.5548686244	0.6902117286
185	0.5544401544	0.6901972349
186	0.5560711524	0.6901792256
187	0.5549535604	0.690162364
188	0.5553834237	0.6901445067
189	0.5565891473	0.6901246538
190	0.5583203733	0.6901041797
191	0.5578865579	0.6900950267
192	0.5576323988	0.6900750004
193	0.5573770492	0.6900529363
194	0.55703125	0.6900470272
195	0.5572100313	0.6900249642
196	0.5566929134	0.6900114244
197	0.5573899371	0.690003077
198	0.5579937304	0.6899880348
199	0.5579937304	0.689981432
200	0.5589622642	0.6899667707
201	0.5587774295	0.6899534413
202	0.5592156863	0.6899508706
203	0.5587774295	0.689941458
204	0.5587774295	0.6899313228
205	0.5592156863	0.6899185244
206	0.5567736883	0.6898943227
207	0.5567736883	0.6898807922
208	0.55625	0.6898666101
209	0.55703125	0.6898539713
210	0.5578125	0.6898363364
211	0.5579029734	0.6898293414
212	0.5578125	0.6898065994
213	0.5578125	0.6897984588
214	0.5582486317	0.6897767163
215	0.5579029734	0.689771201
216	0.5578125	0.6897592688
217	0.5582486317	0.6897531778
218	0.5578125	0.6897376799
219	0.5578125	0.6897287725
220	0.5579029734	0.6897145631
221	0.5582486317	0.6896991274
222	0.5579029734	0.6896874072
223	0.5574667709	0.6896690516
224	0.5578125	0.6896604065
225	0.5567736883	0.6896518772
226	0.5563435776	0.6896390107
227	0.5582677165	0.6896318622
228	0.5582677165	0.6896258791
229	0.5579196217	0.6896113277
230	0.5572217837	0.6895947845
231	0.5576619273	0.6895864069
232	0.5590551181	0.6895799671
233	0.5580110497	0.6895544319
234	0.5583596215	0.6895521246
235	0.5580110497	0.6895392089
236	0.5599369085	0.6895208298
237	0.5587076438	0.6895103805
238	0.5573899371	0.6895023577
239	0.557480315	0.6894911223
240	0.5560821485	0.6894720699
241	0.5569620253	0.6894606669
242	0.5569620253	0.6894591453
243	0.5569620253	0.6894543788
244	0.5577531646	0.6894395109
245	0.5564325178	0.6894254161
246	0.5571315997	0.6894112937
247	0.5571315997	0.6893983034
248	0.5577531646	0.6893842244
249	0.5576619273	0.6893819448
250	0.5565217391	0.6893741216
251	0.557312253	0.6893562955
252	0.5569620253	0.6893472509
253	0.5574030087	0.6893352734
254	0.5584518167	0.6893273661
255	0.5582870738	0.6893063931
256	0.5582870738	0.6893024707
257	0.5576619273	0.6892831977
258	0.5585443038	0.689279012
259	0.557312253	0.6892559145
260	0.5590800952	0.6892442003
261	0.559429477	0.6892274058
262	0.5590800952	0.6892044664
263	0.5583796664	0.6891991732
264	0.5592680986	0.6891874064
265	0.5588235294	0.689177172
266	0.5579365079	0.6891672312
267	0.5569620253	0.6891586642
268	0.557844691	0.6891449667
269	0.557844691	0.6891317665
270	0.5591739476	0.6891238397
271	0.5591739476	0.6891130893
272	0.5589171975	0.6890903848
273	0.5590800952	0.6890824778
274	0.5583796664	0.6890737263
275	0.5579365079	0.6890711271
276	0.5587301587	0.6890582526
277	0.5581947743	0.6890447081
278	0.5562599049	0.6890363031
279	0.5571428571	0.6890246627
280	0.5575853852	0.6890165102
281	0.5571428571	0.6890151394
282	0.5564387917	0.6890043273
283	0.5572337043	0.6889911378
284	0.5572337043	0.6889697369
285	0.5567911041	0.6889597077
286	0.5565286624	0.6889452512
287	0.5568814638	0.6889373569
288	0.5575853852	0.6889315019
289	0.5565286624	0.688918565
290	0.5572337043	0.6889007472
291	0.5577689243	0.6888872598
292	0.5566188198	0.6888647811
293	0.5566188198	0.6888591475
294	0.5562649641	0.6888480721
295	0.5580464371	0.6888321286
296	0.5587529976	0.6888238872
297	0.5567092652	0.6888019179
298	0.5567092652	0.6887950195
299	0.5575079872	0.688778063
300	0.5568	0.6887604024
301	0.5568	0.6887550438
302	0.5572457966	0.6887482257
303	0.5572457966	0.6887458327
304	0.5568910256	0.6887396123
305	0.5576	0.688735083
306	0.5578611333	0.6887187462
307	0.5574162679	0.6887068404
308	0.5566188198	0.688692862
309	0.5566188198	0.6886820215
310	0.5570630487	0.6886716142
311	0.5575079872	0.6886643059
312	0.5578611333	0.6886607177
313	0.5571542766	0.6886484392
314	0.5578611333	0.6886410366
315	0.5578611333	0.688627601
316	0.5577689243	0.6886197575
317	0.5569721116	0.6886153706
318	0.5570630487	0.6886048543
319	0.5563549161	0.6885935581
320	0.5566188198	0.6885853284
321	0.5563549161	0.6885742481
322	0.5571542766	0.6885620604
323	0.5566188198	0.6885444699
324	0.5570630487	0.6885380564
325	0.5562649641	0.6885286185
326	0.5567092652	0.6885191979
327	0.5563549161	0.6885022916
328	0.5563549161	0.6884947641
329	0.5568	0.6884882828
330	0.5568	0.6884821327
331	0.5568	0.6884784035
332	0.5572457966	0.688466187
333	0.5579536371	0.6884550037
334	0.5579536371	0.6884475102
335	0.5584	0.6884352472
336	0.5583067093	0.688415801
337	0.5587529976	0.6884075653
338	0.5587529976	0.6884012003
339	0.5591054313	0.688384658
340	0.5583067093	0.6883797233
341	0.5583067093	0.6883686751
342	0.5592	0.6883508701
343	0.5584	0.6883423164
344	0.5576	0.6883371225
345	0.5576	0.6883319032
346	0.5584	0.6883248534
347	0.5576923077	0.6883087242
348	0.5581395349	0.6883066432
349	0.5580464371	0.68830218
350	0.5581395349	0.6882959748
351	0.5581395349	0.6882926223
352	0.5576923077	0.688289087
353	0.5585874799	0.6882847754
354	0.5576923077	0.6882817657
355	0.5572457966	0.6882757626
356	0.5573376103	0.6882556474
357	0.5573376103	0.6882532629
358	0.5580464371	0.6882465833
359	0.5573376103	0.6882296539
360	0.5568910256	0.6882171291
361	0.5588470777	0.6882106997
362	0.5577849117	0.6881927697
363	0.5577849117	0.6881812772
364	0.5581395349	0.6881768809
365	0.5588470777	0.6881682872
366	0.5588470777	0.6881585695
367	0.5584935897	0.6881423866
368	0.5588470777	0.6881236566
369	0.5596477182	0.6881113569
370	0.5592948718	0.6880990505
371	0.5597433841	0.6880920763
372	0.5589414595	0.6880831175
373	0.5592948718	0.6880755444
374	0.5584935897	0.6880646907
375	0.5576	0.6880551368
376	0.5576923077	0.6880504971
377	0.5584	0.6880339821
378	0.5577849117	0.6880235516
379	0.5580464371	0.6879852553
380	0.5584935897	0.6879608597
381	0.5592948718	0.6879504353
382	0.5589414595	0.6879397793
383	0.5578778135	0.6879303089
384	0.5582329317	0.6879263942
385	0.5582329317	0.6879223413
386	0.5574297189	0.6879152666
387	0.5577849117	0.6879100036
