iter	Logloss_SumError	Logloss_SumWeight	Precision_SumError	Precision_SumWeight
0	360.4286857	520	122	232
10	360.365111	520	181	336
20	360.3129703	520	177	323
30	360.2682034	520	174	320
40	360.2106337	520	175	325
50	360.1461179	520	174	323
60	360.0790112	520	175	325
70	360.0776618	520	176	325
80	360.035072	520	174	326
90	359.9837846	520	177	331
100	359.9095457	520	176	326
110	359.8646454	520	176	322
120	359.8113873	520	174	321
130	359.7805496	520	175	319
140	359.7444028	520	175	318
150	359.7109575	520	175	318
160	359.6661951	520	174	316
170	359.6166832	520	174	314
180	359.5637869	520	174	313
190	359.5236756	520	174	315
200	359.4733696	520	174	314
210	359.4399941	520	172	312
220	359.4043434	520	173	313
230	359.3517459	520	173	312
240	359.3366878	520	172	311
250	359.3118099	520	172	310
260	359.2784837	520	173	310
270	359.2364976	520	172	311
280	359.2075527	520	172	310
290	359.1774246	520	172	309
300	359.1302268	520	172	307
310	359.1128742	520	170	306
320	359.1038962	520	170	306
330	359.0736153	520	171	307
340	359.0409786	520	170	305
350	359.0375015	520	168	303
360	359.0193291	520	169	305
370	358.9873666	520	169	304
380	358.9604976	520	169	304
390	358.9499382	520	168	302
400	358.9225342	520	165	298
410	358.8817979	520	169	305
420	358.8668353	520	169	304
430	358.8621769	520	168	304
440	358.8357979	520	167	302
450	358.8062583	520	168	304
460	358.7879846	520	167	301
470	358.7702913	520	167	303
480	358.7518979	520	166	300
490	358.7473471	520	165	300
500	358.7090991	520	166	301
510	358.6823711	520	165	300
520	358.6885445	520	165	300
530	358.6910562	520	165	300
540	358.6756295	520	165	300
550	358.6527019	520	165	298
560	358.6448804	520	165	298
570	358.6220715	520	167	300
580	358.601279	520	166	299
590	358.5830739	520	167	299
600	358.5630552	520	167	299
610	358.5425799	520	165	298
620	358.5324463	520	165	298
630	358.5398407	520	165	297
640	358.5204915	520	165	297
650	358.493013	520	165	296
660	358.4916527	520	165	297
670	358.4723963	520	165	296
680	358.4750702	520	165	296
690	358.4621086	520	164	295
700	358.4449917	520	164	295
710	358.4252003	520	165	296
720	358.4167791	520	162	294
730	358.3992476	520	163	294
740	358.3798459	520	164	293
750	358.3622342	520	164	294
760	358.3572019	520	164	293
770	358.3343787	520	164	294
780	358.3208783	520	166	296
782	358.3170169	520	166	295
