iter	Passed	Remaining
0	1	3711
1	3	3357
2	4	3304
3	6	3251
4	8	3242
5	9	3228
6	11	3256
7	13	3441
8	15	3518
9	17	3555
10	26	4870
11	28	4746
12	30	4627
13	32	4560
14	33	4477
15	35	4416
16	37	4334
17	38	4263
18	40	4201
19	42	4169
20	43	4113
21	45	4065
22	46	4021
23	48	3985
24	49	3947
25	51	3908
26	53	3883
27	54	3851
28	56	3848
29	58	3818
30	59	3791
31	61	3766
32	62	3743
33	64	3720
34	65	3700
35	67	3680
36	69	3663
37	70	3653
38	72	3635
39	73	3619
40	75	3603
41	76	3587
42	78	3571
43	80	3557
44	81	3543
45	83	3529
46	84	3518
47	86	3517
48	88	3506
49	89	3494
50	91	3483
51	92	3482
52	94	3471
53	96	3460
54	97	3452
55	99	3442
56	101	3446
57	102	3438
58	104	3428
59	105	3418
60	107	3410
61	108	3402
62	110	3393
63	111	3385
64	113	3383
65	115	3379
66	117	3376
67	118	3367
68	120	3362
69	121	3354
70	123	3352
71	124	3345
72	126	3338
73	127	3331
74	129	3324
75	131	3327
76	132	3321
77	134	3315
78	136	3309
79	137	3303
80	139	3297
81	140	3291
82	142	3286
83	143	3281
84	145	3284
85	147	3280
86	148	3275
87	150	3270
88	152	3264
89	153	3259
90	155	3255
91	156	3250
92	158	3244
93	159	3243
94	161	3241
95	163	3237
96	164	3232
97	166	3227
98	167	3223
99	169	3218
100	170	3214
101	172	3218
102	174	3217
103	176	3216
104	178	3213
105	179	3212
106	181	3208
107	183	3207
108	184	3203
109	186	3201
110	187	3198
111	189	3199
112	191	3198
113	193	3195
114	194	3195
115	196	3195
116	198	3192
117	200	3190
118	201	3188
119	203	3187
120	205	3189
121	207	3188
122	208	3186
123	210	3185
124	212	3187
125	214	3185
126	215	3184
127	217	3180
128	219	3180
129	221	3180
130	222	3176
131	224	3172
132	225	3170
133	227	3167
134	228	3163
135	230	3159
136	232	3156
137	233	3153
138	235	3151
139	236	3148
140	238	3145
141	240	3141
142	241	3140
143	243	3136
144	244	3133
145	246	3128
146	248	3127
147	249	3128
148	251	3126
149	253	3123
150	254	3119
151	256	3119
